MBARI ID	INST ID	WMO	float type	1st lon	1st lat	1st date	msg dir	NC template	Program	Region	tf Bfile	tf Dead	tf NO3	tf pH	tf Chl	tf OCR	max cycle msg file	max cycle file date	latest cycle msg file	latest cycle file date	max cycle proc	max cycle proc date
ua9645	9645	5904676	APEX	79.770	-48.277	01/18/2016 05:38	\\seaecho.shore.mbari.org\floats\UW\f9645\	1	SOCCOM	SO	1	1	1	1	1	0	153	08/15/2020 13:15	153	08/15/2020 13:15	153	08/15/2020 18:18
ua9646	9646	5904661	APEX	-89.252	-54.261	12/29/2015 05:25	\\seaecho.shore.mbari.org\floats\UW\f9646\	1	SOCCOM	SO	1	1	1	1	1	0	157	05/30/2020 04:17	157	05/30/2020 04:17	157	05/30/2020 09:48
ua9650	9650	5904683	APEX	93.079	-47.089	03/03/2016 23:57	\\seaecho.shore.mbari.org\floats\UW\f9650\	1	SOCCOM	SO	1	1	1	1	1	0	169	12/03/2020 20:18	169	12/03/2020 20:18	169	12/04/2020 03:32
ua9652	9652	5904660	APEX	-54.635	-60.626	01/07/2016 19:29	\\seaecho.shore.mbari.org\floats\UW\f9652\	1	SOCCOM	SO	1	1	1	1	1	0	152	04/19/2020 21:38	152	04/19/2020 21:38	152	04/20/2020 03:31
ua9655	9655	5904658	APEX	-56.505	-57.993	01/09/2016 09:04	\\seaecho.shore.mbari.org\floats\UW\f9655\	2	SOCCOM	SO	1	1	1	1	0	0	163	08/11/2020 05:21	163	08/11/2020 05:21	163	08/11/2020 10:49
ua9657	9657	5904659	APEX	-55.383	-59.636	01/08/2016 09:14	\\seaecho.shore.mbari.org\floats\UW\f9657\	1	SOCCOM	SO	1	1	1	1	1	0	153	04/30/2020 07:53	153	04/30/2020 07:53	153	04/30/2020 14:23
ua9659	9659	5904843	APEX	-103.067	-35.016	01/07/2017 16:16	\\seaecho.shore.mbari.org\floats\UW\f9659\	1	SOCCOM	SO	1	1	1	1	1	0	177	11/06/2021 04:49	177	11/06/2021 04:49	177	11/06/2021 11:24
ua9660	9660	5904761	APEX	-169.912	-51.925	05/18/2016 06:02	\\seaecho.shore.mbari.org\floats\UW\f9660\	1	SOCCOM	SO	1	1	1	1	1	0	143	07/12/2020 22:40	126	01/26/2021 17:15	143	07/13/2020 05:19
ua9662	9662	5904657	APEX	-57.205	-56.480	01/10/2016 05:30	\\seaecho.shore.mbari.org\floats\UW\f9662\	2	SOCCOM	SO	1	1	1	1	0	0	160	07/13/2020 10:56	160	07/13/2020 10:56	160	07/13/2020 16:30
ua9666	9666	5904662	APEX	-89.253	-54.262	12/29/2015 05:31	\\seaecho.shore.mbari.org\floats\UW\f9666\	2	SOCCOM	SO	1	1	1	1	0	0	84	03/31/2018 05:29	19	04/16/2020 10:11	84	03/31/2018 12:01
ua9668	9668	5904663	APEX	-80.298	-53.331	12/09/2015 13:57	\\seaecho.shore.mbari.org\floats\UW\f9668\	2	SOCCOM	SO	1	1	1	1	0	0	168	08/30/2020 08:08	168	08/30/2020 08:08	168	08/30/2020 14:32
ua9744	9744	5904678	APEX	148.666	-51.952	04/07/2016 22:47	\\seaecho.shore.mbari.org\floats\UW\f9744\	1	SOCCOM	SO	1	1	1	1	1	0	165	08/18/2020 19:07	165	08/18/2020 19:07	165	08/19/2020 01:37
ua9749	9749	5904675	APEX	99.470	-39.451	01/13/2016 07:49	\\seaecho.shore.mbari.org\floats\UW\f9749\	2	SOCCOM	SO	1	1	1	1	0	0	140	12/19/2019 11:56	140	12/19/2019 11:56	140	12/19/2019 19:04
ua9750	9750	5904845	APEX	-102.937	-59.147	01/20/2017 16:09	\\seaecho.shore.mbari.org\floats\UW\f9750\	1	SOCCOM	SO	1	1	1	1	1	0	173	10/14/2021 22:48	173	10/14/2021 22:48	173	10/15/2021 04:14
ua9752	9752	5904694	APEX	-171.450	-38.120	06/01/2016 12:57	\\seaecho.shore.mbari.org\floats\UW\f9752\	2	SOCCOM	SO	1	1	1	1	0	0	178	06/05/2021 11:04	178	06/05/2021 11:04	178	06/05/2021 17:31
ua9757	9757	5904679	APEX	78.823	-49.765	01/19/2016 04:04	\\seaecho.shore.mbari.org\floats\UW\f9757\	1	SOCCOM	SO	1	1	1	1	1	0	146	03/01/2020 23:51	146	03/01/2020 23:51	146	03/02/2020 06:49
ua9761	9761	5904764	APEX	-169.907	-61.921	05/09/2016 09:54	\\seaecho.shore.mbari.org\floats\UW\f9761\	1	SOCCOM	SO	1	1	1	1	1	0	1	05/09/2016 04:52	1	05/09/2016 04:52	1	05/09/2016 09:38
ua9762	9762	5904765	APEX	-171.529	-46.667	05/31/2016 20:49	\\seaecho.shore.mbari.org\floats\UW\f9762\	1	SOCCOM	SO	1	1	1	1	1	0	177	06/08/2021 13:37	177	06/08/2021 13:37	157	10/31/2020 22:01
ua9766	9766	5904844	APEX	-103.008	-30.009	01/05/2017 02:08	\\seaecho.shore.mbari.org\floats\UW\f9766\	1	SOCCOM	SO	1	1	1	1	1	0	199	06/13/2022 18:38	199	06/13/2022 18:38	199	06/14/2022 00:40
ua11017	11017	5906042	APEX	-110.044	-7.980	06/29/2019 21:50	\\seaecho.shore.mbari.org\floats\UW\f11017\	2	TPOS	EQPac	1	0	1	1	0	0	47	05/05/2020 02:59	47	05/05/2020 02:59	47	05/05/2020 09:28
ua11090	11090	5905995	APEX	-12.322	-66.004	01/08/2019 08:48	\\seaecho.shore.mbari.org\floats\UW\f11090\	1	SOCCOM	SO	1	0	1	1	1	0	192	04/07/2024 12:26	192	04/07/2024 12:26	192	04/07/2024 18:55
ua12361	12361	5905100	APEX	171.978	-65.510	04/18/2017 12:25	\\seaecho.shore.mbari.org\floats\UW\f12361\	1	SOCCOM	SO	1	1	1	1	1	0	77	05/22/2019 08:59	61	07/16/2019 06:42	77	05/22/2019 14:58
ua12363	12363	5905102	APEX	172.071	-68.566	04/19/2017 23:39	\\seaecho.shore.mbari.org\floats\UW\f12363\	1	SOCCOM	SO	1	1	1	1	1	0	178	02/25/2022 10:06	174	02/25/2022 13:44	178	02/25/2022 17:30
ua12366	12366	5905080	APEX	-126.153	-62.481	02/19/2017 21:03	\\seaecho.shore.mbari.org\floats\UW\f12366\	1	SOCCOM	SO	1	1	1	1	1	0	159	06/29/2021 11:34	159	06/29/2021 11:34	159	06/29/2021 15:46
ua12369	12369	5905106	APEX	-84.547	-32.481	09/23/2017 00:30	\\seaecho.shore.mbari.org\floats\UW\f12369\	1	SOCCOM	SO	1	1	1	1	1	0	190	11/23/2022 15:47	190	11/23/2022 15:47	190	11/23/2022 22:46
ua12370	12370	5905103	APEX	131.886	-58.498	02/16/2018 13:00	\\seaecho.shore.mbari.org\floats\UW\f12370\	1	SOCCOM	SO	1	1	1	1	1	0	157	05/31/2022 03:00	143	09/27/2022 22:23	157	05/31/2022 08:50
ua12371	12371	5905078	APEX	-126.083	-66.389	02/17/2017 15:33	\\seaecho.shore.mbari.org\floats\UW\f12371\	1	SOCCOM	SO	1	1	1	1	1	0	48	12/01/2018 03:13	48	12/01/2018 03:13	48	06/04/2018 15:44
ua12372	12372	5905107	APEX	-154.974	-32.415	08/11/2017 12:18	\\seaecho.shore.mbari.org\floats\UW\f12372\	1	SOCCOM	SO	1	1	1	1	1	0	159	12/12/2021 17:38	159	12/12/2021 17:38	159	12/13/2021 01:07
ua12378	12378	5905101	APEX	171.941	-67.512	04/19/2017 07:12	\\seaecho.shore.mbari.org\floats\UW\f12378\	1	SOCCOM	SO	1	1	1	1	1	0	3	05/09/2017 02:45	3	05/09/2017 02:45	3	05/09/2017 09:09
ua12379	12379	5905077	APEX	-125.902	-65.014	02/18/2017 04:16	\\seaecho.shore.mbari.org\floats\UW\f12379\	1	SOCCOM	SO	1	1	1	1	1	0	152	04/18/2021 04:01	152	04/18/2021 04:01	152	04/18/2021 10:14
ua12380	12380	5905108	APEX	-174.758	-32.465	07/29/2017 20:01	\\seaecho.shore.mbari.org\floats\UW\f12380\	1	SOCCOM	SO	1	1	1	1	1	0	190	09/30/2022 05:55	190	09/30/2022 05:55	189	09/20/2022 11:14
